argument,temporal_label,ML_4_features,ML_text_svm,ML_text_logistic,label,year,quarter,,
There are a lot of elements in the gross margin line that we have good control over and there are also elements that we don't control. Take for example foreign exchange which has been a significant headwind for the company for the last three years now. Also the mix of products that we sell into the market tends to change over time and that also has an impact on the overall gross margin for the company.,0,0,1,1,1,2017,Q4,text,Different
"So, on the apps question, the ones that have done the best are things that augment core Facebook functionality for large subsets of the community. So for example we have this Pages Manager App. There are 50 million businesses that have pages on Facebook. And giving a focused experience for the person who wants to run their business through Facebook and be communicating with their customers all day long that’s just proven to be an incredibly engaging experience that drives content into the system and is good overall. We have introduced a number of things like that for public figures for groups messengers probably been the most successful; it’s something that’s connected to the Facebook experience that now has more than 800 million people using it.",0,0,0,0,0,2015,Q4,,Same
It's starting to pivot to consumed. It will then land as billings and ultimately in our P&L as GAAP revenue in-quarter off the balance sheet.,0,0,0,0,0,2017,Q2,,Same
What we focus on is innovating on behalf of customers and expanding the geographic footprint to make our services more widely available. You can see us continue to invest in things like new application services higher up the stack additional technologies that will make integrating with AWS seamless for those companies that have a hybrid IT environment and then continuing to add functionality for data analytics mobile Internet of things machine learning offerings things like that that will add greater and greater value for AWS customers.,0,0,0,0,0,2016,Q2,,Same
It's now a multibillion-dollar program. You can see the – in our supplemental revenue disclosure its in other revenue and its the majority of the other revenue in that line item.,0,0,0,0,0,2018,Q1,,Same
"When you look at our financial performance in recent years, take the last three years, for example, the number of units sold during any quarter has not been necessarily representative of the underlying strength of our business. If you look at our revenue given the last three years if you look at our net income during the last three years if you look at our stock price here in the last three years theres no correlation to the units sold in any given period. As you know very well in addition our product ranges for all the major product categories have become wider over time and therefore a unit of sale is less relevant for us at this point compared to the past because we got this much wider sales price dispersion so unit of sale per se becomes less relevant.",0,0,1,1,1,2018,Q4,text,Different
"So, we couldn't be happier with the progress. And were seeing a growing engagement with the broader Apple ecosystem during the quarter. And so when you look at it each of our categories iPhone iPad Mac wearables services everything improved sequentially. I would point out I think I mentioned in my comments that we actually grew in constant currency for Greater China and we grew in Mainland China on a reported basis.",0,0,2,2,2,2019,Q3,text,Different
"So yes -- sorry, the operating margin in AWS, just like the revenue rate it's such a rapidly growing business with different timing of investments and global expansion in investment in marketing and other infrastructure that is going to vary quarter-to-quarter. We had a -- weve come off a period where if you remember last year we had less investment needed in infrastructure both for AWS and for Amazon in total. The -- I dont have the number directly in front of me but anyway we grew finance leases which is essentially our props for capital leases for infrastructure by 9% in Q1 and it was 10% all of last year coming off a year in 2017 where we had growth of 69%. So we had that dynamic.",0,1,1,1,1,2019,Q2,text,Same
"on pricing growth, I think there we feel like we're making good progress in our goal of driving better outcomes in ROI for our advertisers through things like better targeting, better ad units, driving better conversion, and the willingness of advertisers continue to grow budgets with us I think highlights our progress there. You remember they are optimizing at the end of the day for business results for a given dollar spent not the impression price that were kind of nominally reporting here. So you can think of all of this work and Sheryl talked about the value optimization efforts as part of that as being an effort to improve the yield of the impressions that we have to drive downstream business results for advertising partners.",0,0,2,0,0,2017,Q4,rule,Same
"But I suspect that any time there are large numbers of customers that have a phone that's in that two year kind of range that it tends to be a sweet spot, and I think you probably will see a lot of people trying to recruit those customers. We clearly saw that this year. Theres a lot of competition for customers in the U.S. which I think is the market that youre talking about.",0,0,1,0,1,2016,Q4,,Same
"So having mid-roll ads, we're committed to doing this in a way that's very good on the user experience, but that is going to enable the kind of content that I think is going to take us to the next level. The early trends are good but I think this is really going to be an area that is proportional to the amount of quality content that is in the system and the business model is really going to be the thing that enables that.",0,0,0,0,0,2016,Q4,,Same
"We're excited to bring the UEFA Champions League Soccer and College Basketball to Facebook, and we're going to continue to experiment with developing many different forms of content for Facebook. On this sports answer sports is one of the ways that people get together on Facebook and build community.",0,0,0,0,0,2017,Q4,,Same
"And we traditionally see a step-up in stock-based compensation expense in Q2, and we're seeing the same thing this year. And lastly I would say in Q2 as a reminder each year we - Q2 is a time when we grant RSUs to employees.",1,2,1,2,0,2019,Q1,,Same
"So we're very happy with the growth in the business, the momentum that we're seeing with enterprise customers. Weve had sequential increase in growth rate the prior three quarters I believe it was. This quarter is slightly down but still 46% growth is very strong. We are at an annualized run rate above $26 billion and that was about $18 billion this time last year.",0,0,2,2,1,2018,Q3,,Different
"Yeah, we're very happy with the results we're seeing, and the backlog that we see, and the new contracts and new customers and the expansion of existing customer business that we see. Again the business has accelerated the last three quarters and were seeing great signs in a number of areas. Weve added 800 new services and features so far this year; thats an accelerated pace from last year which was a record year. We see customers have migrated more than 80,000 databases using the AWS Database Migration Service. And customers are just branching out to a lot of new products from us.",0,0,2,1,1,2018,Q2,text,Same
And so the underlying growth rate for service in the quarter was fantastic. It was 24%. Its the highest growth rate that weve had for services during fiscal 2017.,2,0,2,2,2,2017,Q4,rule,Same
"The thing I can tell you about pricing is that our pricing is, price reductions are a core part of our philosophy, of course. We had a price decrease in Q3 and that was our 52nd since we started this business. Not only did we lower the prices of our products but we also create new services that are cheaper that customers can switch to.",2,2,1,0,2,2016,Q3,rule,Same
"So, yeah, we do see expansion of the one-day program as we move through the year. Weve been expanding since we started this effort in Q2 of last year. Expansion means additional cities additional routes additional zip codes.",2,2,2,2,1,2019,Q4,,Same
A good deal of that is tied to the AWS business. So that nearly 40% growth in Amazon fulfilled units last year and the continuation of the strong growth higher than the paid unit growth that we see in 2017 is resulting in a lot of fulfillment center capacity. But a caution; CapEx can fluctuate quarter-to-quarter and if you look back to last year the trailing 12 months was only 7% growth from the quarters through Q1 of last year.,2,1,1,1,1,2017,Q1,text,Same
"So if you think back to how we've talked about the long term, the lifetime value equation, it's those components that I really think about proving out over time, and we had lots of encouraging signs about that. The trend we saw there as I said were 5% up in a constant currency basis. That was 70% cloud minus 8% on prem. Thats a trend thats not new for us. Weve thought about making this transition as quickly as possible but what were seeing which you heard us talk about was a transition to increasing premium mix selling more workloads doing all of that while were growing the installed base. New users Satya referenced on the small business and mid-market side. Premium mix we talked about how many premium services were now selling. And then in terms of renewals theyre quite good which we talked about.",0,0,0,0,0,2016,Q1,,Same
"So that’s contributing to some of the deceleration, specifically as we look out into the remainder of 2019. We are seeing faster growth in impressions coming from Stories and then also coming from geographies that monetize at lower rates on things like Facebook News Feed. So even though we’re seeing good impression growth that’s impression growth it’s flowing through at a lower price point. Then the way that growth was driven in the prior year.",2,0,2,0,0,2019,Q2,text,Same
"The deceleration you're seeing of 700 basis points is more a function of the Prime Day that we had in Q3, if you remember. We didnt break it out by segment but we said that Prime Day contributed 200 basis points to our Q3 run rate revenue growth rate. So sequentially last year any North America EGM we dropped from 31% to 27%. So there is always a - generally a sequential drop in Q4.",2,2,2,2,1,2015,Q4,,Same
"So I would say right now, it's more about efficiency and also performance of the advertisement themselves. The other revenue growth that you see does include some non-advertising things as well. So while other revenue grew 36% and it is principally advertising advertising grew a bit higher than that.",0,0,0,0,0,2019,Q1,,Same
And one of the things we are doing is trying to make it simpler and simpler for people to get on these sort of monthly financing kind of things. Thats a part of what we announced with the Apple Card earlier in the call and so we are cognizant that there are lots of users out there that want sort of a recurring payment like that and the receipt of new products on some sort of standard kind of basis and we are committed to make that easier to do than perhaps it is today.,0,0,0,0,2,2019,Q4,,Same
"And I think people broadly are starting to get that more, which is why things like encryption are so attractive to people and why features around ephemerality or keeping data less permanently are becoming increasingly important. I do think that there is a very broad sense as youre saying that - and greater awareness that having data stored for long periods of time with companies cannot only be an asset and that it can help provide better services but can also be a liability in that there could be breaches or the data could be used in ways that werent intended.",0,0,0,0,0,2018,Q4,,Same
We continue to expect that we'll see deceleration in ad revenue growth. And thats going to be particularly pronounced as we get into the second half of 2017 because ad load will be a less significant factor driving growth starting in the second half.,2,0,1,0,0,2017,Q1,text,Same
I think this is going to be an exciting year. As you mentioned Oculus Go is coming out.,0,0,0,0,0,2018,Q1,,Same
"Yes, a good example of the first-line opportunity was something that you could have seen at NRF this January. We launched for example Teams for first-line workers which had things like shift worker capabilities secure messaging.",0,0,0,0,2,2019,Q2,,Same
So it's a business we're really excited about. For advertising I would remind you that certain parts of the advertising roll up into other. Some actually roll up to EGM and media as well.,0,0,0,0,0,2015,Q2,,Same
So I think we're very well positioned in the e-commerce space. E-commerce is and remains and was one of our strongest verticals in Q4 and we think were doing an excellent job of building the right products for e-commerce retailers. And Sheryl talked about value optimization and that sort of work that were doing and so I think weve got continued opportunities with e-commerce going forward.,2,2,0,0,2,2017,Q4,rule,Different
"So amid all these opening of new buildings, many of them late in the year, the ops team did a fantastic job. The ops team did a great job handling record volumes in Q4 and also incorporating all the new capacity we had opened in 2017. If you remember we have added over 30% to our fulfillment square footage in 2017 coming off the similar increase in 2016.",2,1,1,1,1,2017,Q4,text,Same
"And often, TV and Facebook and Instagram can work really well together. T-Mobile wanted to use their Super Bowl campaign to increase their brand awareness and increase their reach. So before the game they targeted their 30-second Super Bowl ad that featured Drake to people with NFL and celebrity interests. It performed so well that they decided to run the 60-second version on Facebook and Instagram. That ad was so successful on Facebook and Instagram that they then ran the 60-second ad on TV instead of their 30-second ad.",0,0,0,0,0,2016,Q1,,Same
So we're always working within a range. Were confidently we were near but just above our $800 million estimate in Q2.,2,2,0,0,2,2019,Q2,rule,Different
"And so it seems to us that with that many feature phones being sold, that's a pretty big opportunity. In terms of the market in general if you look at last year which is the last data point we have on the full market there were still 0.5 billion feature phones sold in the world.",0,0,1,0,1,2018,Q2,,Same
"And so that’s a good example to say, every three years tends to be the length of our agreements and so you to tend to see that repeated, and that’s what we mean by sort of the record or the largest expiry base and that is the pattern. In terms of LinkedIn having any impact? It did not.",0,0,0,0,2,2017,Q4,,Same
We continue to make progress with monetization. Were starting to roll out Stories ads but it is very early days and we think it will be a long road ahead. Its also probably worth noting that the experiences we had to date moving from Facebook to Instagram were more similar that the Instagram feed is similar to the Facebook feed in terms of what you can do with advertising. And so Messenger and messaging services if Stories is one click different from that thats a few clicks different than that.,0,0,0,0,0,2018,Q4,,Same
So I'm very excited about it. The 4G network investment really began rolling in in a significant way toward the last quarter of last year as you know. But they are moving fast. Theyre moving at a speed that I have not seen in any other country in the world once they were started and it is truly impressive.,0,0,0,0,1,2017,Q2,,Same
What's interesting is that what you see is SMBs are able to use the pull of some of the biggest brands in the world. So over 2 million SMBs have posted a video both paid and organic in the last month. And that happens to be many times the number of SMBs that have shot or placed a TV commercial.,0,0,0,0,2,2016,Q1,,Same
The timeframes of these migrations and so on are a lot more complicated than they perhaps appear on the surface. So heres what we think of. For example right when everyones talking about the cloud the most interesting part is the edge of the cloud. Whether its IoT whether its the auto industry whether its whats happening in retail essentially compute is going where the data gets generated and increasingly data is getting generated at the volumes in which its drawing compute to it which is the edge. So if you look even at our announcements over this quarter a lot of what we have done with IoT is create an IoT edge. Of course we have an amazing cloud with the SaaS services for IoT but the edge compute the ability to run a neural network at the edge do inferences at the edge is exciting.,0,0,0,0,0,2017,Q3,,Same
So it continues to be a really good story for us. And launching the Hong Kong region gets us to a footprint of 19 cities in China.,0,0,0,0,0,2019,Q1,,Same
"On the first, we're always trying to improve our ad products so marketers can buy what they want and pay as they want to pay. We recently announced that were updating the definition of CPC so that includes only websites and apps. But you can also buy on a cost per engagement basis and that include likes comments and shares.",0,0,0,0,0,2015,Q2,,Same
"And then finally, in terms of another headwind that is a little less than it was, currency has been affecting us more significantly. Last quarter in China it affected us 1 percentage point.",0,0,2,2,2,2017,Q4,text,Different
"We're seeing the things that we have on the periphery of this like Apple TV, units and revenue grew by very strong double digits, very, very strong double digits in Q3. As I mentioned in my opening comments were seeing different providers pick up the Apple TV and use it as their box to go to market with their subscription service. There are within the 300 million-plus paid subscriptions some of these are third party video subscriptions and we see the growth that is going on there. Its like 100% year-over-year.",2,2,2,2,2,2018,Q3,,Same
And so I think that is another factor that presents risk in our ability to continue to grow ARPU. One of the things I would point out is that from a pricing perspective there are headwinds that we might face on targeting given the overall privacy landscape in 2019. As well were seeing a mix shift towards Stories. And that is going to be something that will contribute to a deceleration of our revenue growth.,0,0,0,0,0,2018,Q4,,Same
We've already made the call that Azure for Linux is first class. We already have 20 plus points of or 20%-plus of VMs in Azure are Linux and well all increasingly have Linux be a big share of our percentage of what is happening in Azure.,0,0,0,0,0,2016,Q3,,Same
"From the perspective of hiring growth, I'd really point to the fact that we've been consistently accelerating hiring so far in 2017, and I pointed to the fact that we expect to accelerate hiring in the back half of the year as well. And this quarter was the biggest recruiting quarter in terms of net hires ever for Facebook. Were continuing to invest in a number of key areas hiring engineers to drive the three five and 10-year priorities.",2,0,0,2,2,2017,Q2,rule,Same
"That has had the effect of protecting our margins, which you've seen have been very strong, both in the December quarter and in the guidance that we provide for the March quarter. One of the things that weve done to respond to the foreign exchange situation has been to increase the price of some of our products in certain international markets. But inevitably over time higher prices affect demand and so were capturing that in our guidance.",0,0,2,2,2,2016,Q1,text,Different
"I would say there's no let-up in the pace of invention here, particularly on the AWS side. We usually quote the number of new features and services to you each quarter we had 214 in Q1 up from 170 the first quarter of last year. So over 26% growth in this quarter alone coming off a year where I believe the number was 722 significant new features and services delivered for AWS customers last year.",2,2,2,1,1,2016,Q1,text,Same
"The impact on short-term is pretty much indistinguishable from the growth that we're seeing in our expansion of our base customers in our existing regions, so we don't see a large step-up from the addition of new regions relative to the large and rapid growth in the business itself. But to your question about AWS we actually see nine availability zones in four regions coming out in the next – in the coming year.",0,0,2,0,0,2016,Q2,rule,Same
"So, we’re seeing strong growth across those platforms. It’s also the case that Facebook had remarkably strong growth as well. And as I mentioned 98 of our top 100 advertisers in Facebook are now advertising on Instagram.",0,0,0,0,0,2015,Q4,,Same
So we view the social space as almost this matrix. You can think about it as a two-dimensional grid where one axis is the richness of the content that people want to share then other axis is the size of the audience or intimacy of how people want to share.,0,0,0,0,0,2015,Q3,,Same
"Just on the user growth point, we're obviously pleased with the growth we're seeing across the globe in terms of DAU growth. The three largest countries were India the U.S. and Brazil. So were seeing good diversified growth.",0,0,2,2,0,2015,Q3,rule,Different
We think we can grow this year. As Tim said the interest from customers on iPhone 7 and 7 Plus is very strong. The strength of our Services business youve seen weve grown 24% in September.,0,0,2,2,2,2016,Q4,text,Different
"Karl, thanks for asking that question; it gives me a chance to reiterate how many of those components are bit one-time in nature. The first and the largest issue is the end of the Nokia commercial agreement that’s about $650 million that we earned in Q2 of a year ago that because of the ended the agreement simply goes away. The second component relates to the same trend we saw in our IP business that we saw in Q4 then in Q1 we’re doing and seeing again in Q2. The next component which is a change is we have actually launched some of our Office 365 consumer services in Japan which is a Geo that we had not been in historically. That does result in a revenue to fall it will end up in unearned. But that’s about $100 million impact that we would not have seen before that. And so by the time you move all of that out of the comparison group you really get back to very similar trends in our D&C licensing business that we saw this quarter for what I think was a component to you are focused on which is OEM Pro and OEM non-Pro which we expect to really resemble the results we saw this quarter and marry -- and to matched up PC business dynamics overall.",1,2,1,2,0,2015,Q1,,Same
"And, Walter, just quickly, this is one of the areas that we have invested in actually leading into this past fiscal year, FY 2015. ",2,0,1,0,2,2015,Q4,rule,Same
We're continuing to be very excited about the opportunities we have to innovate with the Whole Foods and Amazon teams together. In our physical stores it feels there are supplemental disclosure that physical stores revenue was $4.5 billion in Q4 which is primarily comprised of Whole Foods and was slightly better than what was built into our guidance that I gave you last call. So so far our focus has been on continuing to lower prices even beyond the initial ones that we discussed at the close of the deal in late August. Weve launched Whole Foods products on our Amazon website and were -- the technical work continues to make Prime the Whole Foods customer rewards program and we expect to have more on that later in the year. Weve also added Lockers and much more to come.,2,2,1,1,2,2017,Q4,rule,Different
Every member of Congress right now has a Facebook presence. And were seeing people like one example is Elise Stefanik the youngest person in the Congress. She made a pledge when she was elected that she would explain every vote she takes and she explains every vote she takes on Facebook.,0,0,0,0,0,2016,Q2,,Same
"In terms of the development on the advertising side, we're not specifically breaking out Instagram revenue, as you know, because thats sold through the same Facebook ad interfaces but were seeing really good contribution and good growth there.",0,0,0,0,0,2017,Q1,,Same
"And then in terms of payments, there's multiple approaches that we're taking there. Were of course working on payments in WhatsApp. We have our test going in India. And we also differentiate between payment systems that are built on top of the existing financial infrastructure like what were trying to do with WhatsApp payments or when we make payments in Instagram Shopping and our work with something like Libra that is trying to build some new technological infrastructure for financial services.",0,0,0,0,0,2019,Q3,,Same
"On ad load, we have a lot of experience rolling out ads into feed-based products and we monitor it very carefully and we're going to continue to monitor really carefully. So now we have self-service ads rolled out. Weve rolled out in all countries where we offer Facebook ads. We have new ad formats for Instagram. Were able to do more business objectives all of which can use the same targeting as we have on Facebook and all of which are increasingly tapping into our measurement capabilities.",0,0,0,0,0,2015,Q3,,Same
"so we're going to keep on moving in this direction. So weve launched a number of changes that are focused towards trying to encourage more interaction at the expense of some passive consumption on the network. And we found that these have generally encouraged more interaction or positives,",0,0,0,0,0,2018,Q2,,Same
"What it means to us as a company of course is that, we have additional flexibility right now from the access to the foreign cash. And in the past weve been addressing this issue by having to raise debt as the cash was overseas; the majority of the cash was overseas. And so we are now in a position where we have $285 billion of cash weve got $122 billion of debt for a net cash of $163 billion.",0,0,0,0,0,2018,Q1,,Same
I could not be prouder of the product. On iPhone X specifically I think its important to maybe emphasize again one of the things I mentioned in my opening comments that customers chose iPhone X more than any other iPhone each and every week in the March quarter just as they did following its launch in the December quarter. Also since we split the line with the launch of iPhone 6 and 6 Plus back in 2014 this is the first cycle that weve ever had where the top of the line iPhone model has also been the most popular. And so with the customer set that Luca referenced as well the 99% the iPhone X is a beloved product.,1,1,2,2,1,2018,Q2,rule,Different
"So effective May 11, we're going to increase the price of our U.S. annual plan from $99 to $119 for new members. And the cost is also high as we pointed out especially with shipping options and digital benefits we continue to see rises in costs.",0,0,0,0,0,2018,Q1,,Same
But we also think of in fact our servers as the edge of our cloud. That I think is where the world is going to go to where distributed computing will remain distributers. So Azures stack is completely unique to Microsoft. No one else who is in the public cloud business at any scale has that kind of capability.,0,0,0,0,0,2016,Q3,,Same
"And if we do a really great job of that, which we will, then I'm confident that we'll do well. And so what we have to do and what were doing is innovating like crazy and delivering the best smartphone to our customers there.",0,0,0,0,0,2016,Q3,,Same
And so we go through different cycles. Were certainly still investing very heavily. That being said we – as I mentioned last quarter were spending time on making sure that we get productivity.,0,0,0,0,0,2015,Q1,,Same
"And so when we do one, it is significant and it’s because we really believe in it and we really believe in this one and what it can do for customers.",0,0,0,0,0,2015,Q1,,Same
So we're comping that year-over-year. What happened in the quarter was we were lapping a period last year when we – we had purchased Whole Foods in Q3 as you remember of 2017. In Q4 we adjusted their fiscal calendar to link it up with Amazons and it added about 5 days of revenue into Q4 of last year.,2,1,1,1,1,2018,Q4,text,Same
"It's very ROI-focused, and we continue to invest and roll out products that help people. So for example Lead Ads where people can fill out forms on a mobile device take their contact info from Facebook weve rolled that out fully this quarter. And that enables people to use Facebook in a very direct to response way,",0,0,0,0,2,2016,Q1,,Same
"And now when you think about the scale at which we operate, it is very important for us to make sure that every new breakthrough that happens in the system architecture that can improve efficiencies in what is distributed computing is something that we stay on the forefront of it. So thats why we have a very long-term view on Quantum and the things that we did even in this last quarter is take things like the quantum simulator stuff and bring it to Azure. In fact we are seeing very good adoption in scientific labs in universities and some pharma companies and others who are looking at really building their quantum algorithmic promise long before the quantum computer cloud is real so that they are ready to be able to take advantage of that computing resource.",0,0,0,0,0,2019,Q2,,Same
"2015 is a big investment year for us, both in CapEx and OpEx. So on the CapEx growth for this year Paul yeah we are ramping CapEx obviously to support the initiatives that we have. But clearly weve got a lot of areas that were investing in including video including the various other services on top of Facebook. So were going to be investing to deliver the best quality services that we can for our users so well continue to invest heavily on the datacenter and infrastructure side going forward.",2,0,0,0,2,2015,Q1,rule,Same
We see that the number of paying accounts is growing a lot. And I mentioned the increase in number of paying accounts that we value in this last 90 days is the largest that weve ever had. So this very large number of people coming into the ecosystem experiencing the ecosystem which is obviously improving all the time in quality and quantity and then start paying and transacting on our stores and that number is growing very very strongly strong double digits.,0,0,1,0,2,2017,Q2,,Same
"And even at that point, we're not going to be perfect because more than 2 billion people are communicating on the service. There are going to be things that our systems miss no matter how well-tuned we are.",0,0,0,0,0,2018,Q3,,Same
"So while we'll continue to concurrently drive growth and customer offering and Prime benefits, we certainly do take costs seriously and we will continue to work on operational efficiencies. And then on capital especially infrastructure capital if you use the capital lease slide as maybe an indicator for what we have invested into our AWS business to support infrastructure and global expansion that number grew 10% last year when it had grown 69% in 2017. So in a lot of ways 2018 was about banking the efficiencies of investments in people warehouses infrastructure that we had put in place in 2016 and ’17.",1,1,1,1,1,2018,Q4,,Same
"But in terms of the business, the more important piece is how people can interact with businesses through Messenger. And we started some early small tests around f8 last year where with some ecommerce services made it so that people who were buying things could follow up with the business and get customer support and buy more things. And we went through this process of integrating that and making sure that it’s integrated with all these system well.",0,0,0,0,1,2015,Q4,,Same
"On your comment, I assume you meant vendors not merchants, but on the move from 1P to 3P, but no there shouldn't be -- I can't highlight anything related shifting in channel there, but I would say that we remain in different on whether -- we're focused on price convenience and selection for our customers. And whether product is a retail offering or third-party offering is not that important to us. As long as its in stock as long as its priced competitively. So as you know our 3P selection has -- our 3P percent of units has been increasing over time and increased again in this quarter to 54% of units.",0,0,2,0,2,2019,Q2,,Same
